"Origin","Destination","Race","Sex","Age","Internal.migration.rate"
"AGS","DGO","Total","f",0,0.000256624109835119
"AGS","DGO","Total","f",1,0.000256624109835119
"AGS","DGO","Total","f",2,0.000256624109835119
"AGS","DGO","Total","f",3,0.000256624109835119
"AGS","DGO","Total","f",4,0.000256624109835119
"AGS","DGO","Total","f",5,0.000237251177959764
"AGS","DGO","Total","f",6,0.000237251177959764
"AGS","DGO","Total","f",7,0.000237251177959764
"AGS","DGO","Total","f",8,0.000237251177959764
"AGS","DGO","Total","f",9,0.000237251177959764
"AGS","DGO","Total","f",10,0.000323170723947067
"AGS","DGO","Total","f",11,0.000323170723947067
"AGS","DGO","Total","f",12,0.000323170723947067
"AGS","DGO","Total","f",13,0.000323170723947067
"AGS","DGO","Total","f",14,0.000323170723947067
"AGS","DGO","Total","f",15,0.000368169674224103
"AGS","DGO","Total","f",16,0.000368169674224103
"AGS","DGO","Total","f",17,0.000368169674224103
"AGS","DGO","Total","f",18,0.000368169674224103
"AGS","DGO","Total","f",19,0.000368169674224103
"AGS","DGO","Total","f",20,0.0005534235223708
"AGS","DGO","Total","f",21,0.0005534235223708
"AGS","DGO","Total","f",22,0.0005534235223708
"AGS","DGO","Total","f",23,0.0005534235223708
"AGS","DGO","Total","f",24,0.0005534235223708
"AGS","DGO","Total","f",25,0.000515260771174699
"AGS","DGO","Total","f",26,0.000515260771174699
"AGS","DGO","Total","f",27,0.000515260771174699
"AGS","DGO","Total","f",28,0.000515260771174699
"AGS","DGO","Total","f",29,0.000515260771174699
"AGS","DGO","Total","f",30,0.000525231269340788
"AGS","DGO","Total","f",31,0.000525231269340788
"AGS","DGO","Total","f",32,0.000525231269340788
"AGS","DGO","Total","f",33,0.000525231269340788
"AGS","DGO","Total","f",34,0.000525231269340788
"AGS","DGO","Total","f",35,0.000299675533398837
"AGS","DGO","Total","f",36,0.000299675533398837
"AGS","DGO","Total","f",37,0.000299675533398837
"AGS","DGO","Total","f",38,0.000299675533398837
"AGS","DGO","Total","f",39,0.000299675533398837
"AGS","DGO","Total","f",40,0.000239143387022154
"AGS","DGO","Total","f",41,0.000239143387022154
"AGS","DGO","Total","f",42,0.000239143387022154
"AGS","DGO","Total","f",43,0.000239143387022154
"AGS","DGO","Total","f",44,0.000239143387022154
"AGS","DGO","Total","f",45,0.0002365558204529
"AGS","DGO","Total","f",46,0.0002365558204529
"AGS","DGO","Total","f",47,0.0002365558204529
"AGS","DGO","Total","f",48,0.0002365558204529
"AGS","DGO","Total","f",49,0.0002365558204529
"AGS","DGO","Total","f",50,0.000228399562509825
"AGS","DGO","Total","f",51,0.000228399562509825
"AGS","DGO","Total","f",52,0.000228399562509825
"AGS","DGO","Total","f",53,0.000228399562509825
"AGS","DGO","Total","f",54,0.000228399562509825
"AGS","DGO","Total","f",55,0.000243351887407567
"AGS","DGO","Total","f",56,0.000243351887407567
"AGS","DGO","Total","f",57,0.000243351887407567
"AGS","DGO","Total","f",58,0.000243351887407567
"AGS","DGO","Total","f",59,0.000243351887407567
"AGS","DGO","Total","f",60,0.00020152980799375
"AGS","DGO","Total","f",61,0.00020152980799375
"AGS","DGO","Total","f",62,0.00020152980799375
"AGS","DGO","Total","f",63,0.00020152980799375
"AGS","DGO","Total","f",64,0.00020152980799375
"AGS","DGO","Total","f",65,0.000201699488144437
"AGS","DGO","Total","f",66,0.000201699488144437
"AGS","DGO","Total","f",67,0.000201699488144437
"AGS","DGO","Total","f",68,0.000201699488144437
"AGS","DGO","Total","f",69,0.000201699488144437
"AGS","DGO","Total","f",70,0.000134339008537822
"AGS","DGO","Total","f",71,0.000134339008537822
"AGS","DGO","Total","f",72,0.000134339008537822
"AGS","DGO","Total","f",73,0.000134339008537822
"AGS","DGO","Total","f",74,0.000134339008537822
"AGS","DGO","Total","f",75,6.50533437418683e-05
"AGS","DGO","Total","f",76,6.50533437418683e-05
"AGS","DGO","Total","f",77,6.50533437418683e-05
"AGS","DGO","Total","f",78,6.50533437418683e-05
"AGS","DGO","Total","f",79,6.50533437418683e-05
"AGS","DGO","Total","f",80,0
"AGS","DGO","Total","f",81,0
"AGS","DGO","Total","f",82,0
"AGS","DGO","Total","f",83,0
"AGS","DGO","Total","f",84,0
"AGS","DGO","Total","f",85,0
"AGS","DGO","Total","f",86,0
"AGS","DGO","Total","f",87,0
"AGS","DGO","Total","f",88,0
"AGS","DGO","Total","f",89,0
"AGS","DGO","Total","f",90,0
"AGS","DGO","Total","f",91,0
"AGS","DGO","Total","f",92,0
"AGS","DGO","Total","f",93,0
"AGS","DGO","Total","f",94,0
"AGS","DGO","Total","f",95,0
"AGS","DGO","Total","f",96,0
"AGS","DGO","Total","f",97,0
"AGS","DGO","Total","f",98,0
"AGS","DGO","Total","f",99,0
"AGS","DGO","Total","f",100,0
"AGS","DGO","Total","m",0,0.000291988750749182
"AGS","DGO","Total","m",1,0.000291988750749182
"AGS","DGO","Total","m",2,0.000291988750749182
"AGS","DGO","Total","m",3,0.000291988750749182
"AGS","DGO","Total","m",4,0.000291988750749182
"AGS","DGO","Total","m",5,0.000236683479872223
"AGS","DGO","Total","m",6,0.000236683479872223
"AGS","DGO","Total","m",7,0.000236683479872223
"AGS","DGO","Total","m",8,0.000236683479872223
"AGS","DGO","Total","m",9,0.000236683479872223
"AGS","DGO","Total","m",10,0.000237952319254906
"AGS","DGO","Total","m",11,0.000237952319254906
"AGS","DGO","Total","m",12,0.000237952319254906
"AGS","DGO","Total","m",13,0.000237952319254906
"AGS","DGO","Total","m",14,0.000237952319254906
"AGS","DGO","Total","m",15,0.000226880043522525
"AGS","DGO","Total","m",16,0.000226880043522525
"AGS","DGO","Total","m",17,0.000226880043522525
"AGS","DGO","Total","m",18,0.000226880043522525
"AGS","DGO","Total","m",19,0.000226880043522525
"AGS","DGO","Total","m",20,0.000220197795037954
"AGS","DGO","Total","m",21,0.000220197795037954
"AGS","DGO","Total","m",22,0.000220197795037954
"AGS","DGO","Total","m",23,0.000220197795037954
"AGS","DGO","Total","m",24,0.000220197795037954
"AGS","DGO","Total","m",25,0.000362240589776479
"AGS","DGO","Total","m",26,0.000362240589776479
"AGS","DGO","Total","m",27,0.000362240589776479
"AGS","DGO","Total","m",28,0.000362240589776479
"AGS","DGO","Total","m",29,0.000362240589776479
"AGS","DGO","Total","m",30,0.000633034502104379
"AGS","DGO","Total","m",31,0.000633034502104379
"AGS","DGO","Total","m",32,0.000633034502104379
"AGS","DGO","Total","m",33,0.000633034502104379
"AGS","DGO","Total","m",34,0.000633034502104379
"AGS","DGO","Total","m",35,0.000743838015793498
"AGS","DGO","Total","m",36,0.000743838015793498
"AGS","DGO","Total","m",37,0.000743838015793498
"AGS","DGO","Total","m",38,0.000743838015793498
"AGS","DGO","Total","m",39,0.000743838015793498
"AGS","DGO","Total","m",40,0.000616621678187043
"AGS","DGO","Total","m",41,0.000616621678187043
"AGS","DGO","Total","m",42,0.000616621678187043
"AGS","DGO","Total","m",43,0.000616621678187043
"AGS","DGO","Total","m",44,0.000616621678187043
"AGS","DGO","Total","m",45,0.000442653861107231
"AGS","DGO","Total","m",46,0.000442653861107231
"AGS","DGO","Total","m",47,0.000442653861107231
"AGS","DGO","Total","m",48,0.000442653861107231
"AGS","DGO","Total","m",49,0.000442653861107231
"AGS","DGO","Total","m",50,0.000404087852752681
"AGS","DGO","Total","m",51,0.000404087852752681
"AGS","DGO","Total","m",52,0.000404087852752681
"AGS","DGO","Total","m",53,0.000404087852752681
"AGS","DGO","Total","m",54,0.000404087852752681
"AGS","DGO","Total","m",55,0.000381591221777967
"AGS","DGO","Total","m",56,0.000381591221777967
"AGS","DGO","Total","m",57,0.000381591221777967
"AGS","DGO","Total","m",58,0.000381591221777967
"AGS","DGO","Total","m",59,0.000381591221777967
"AGS","DGO","Total","m",60,0.000285191516679247
"AGS","DGO","Total","m",61,0.000285191516679247
"AGS","DGO","Total","m",62,0.000285191516679247
"AGS","DGO","Total","m",63,0.000285191516679247
"AGS","DGO","Total","m",64,0.000285191516679247
"AGS","DGO","Total","m",65,0.000196942936198325
"AGS","DGO","Total","m",66,0.000196942936198325
"AGS","DGO","Total","m",67,0.000196942936198325
"AGS","DGO","Total","m",68,0.000196942936198325
"AGS","DGO","Total","m",69,0.000196942936198325
"AGS","DGO","Total","m",70,0.000180691436083601
"AGS","DGO","Total","m",71,0.000180691436083601
"AGS","DGO","Total","m",72,0.000180691436083601
"AGS","DGO","Total","m",73,0.000180691436083601
"AGS","DGO","Total","m",74,0.000180691436083601
"AGS","DGO","Total","m",75,0.000128485745663345
"AGS","DGO","Total","m",76,0.000128485745663345
"AGS","DGO","Total","m",77,0.000128485745663345
"AGS","DGO","Total","m",78,0.000128485745663345
"AGS","DGO","Total","m",79,0.000128485745663345
"AGS","DGO","Total","m",80,5.8633831720903e-05
"AGS","DGO","Total","m",81,5.8633831720903e-05
"AGS","DGO","Total","m",82,5.8633831720903e-05
"AGS","DGO","Total","m",83,5.8633831720903e-05
"AGS","DGO","Total","m",84,5.8633831720903e-05
"AGS","DGO","Total","m",85,0
"AGS","DGO","Total","m",86,0
"AGS","DGO","Total","m",87,0
"AGS","DGO","Total","m",88,0
"AGS","DGO","Total","m",89,0
"AGS","DGO","Total","m",90,0
"AGS","DGO","Total","m",91,0
"AGS","DGO","Total","m",92,0
"AGS","DGO","Total","m",93,0
"AGS","DGO","Total","m",94,0
"AGS","DGO","Total","m",95,0
"AGS","DGO","Total","m",96,0
"AGS","DGO","Total","m",97,0
"AGS","DGO","Total","m",98,0
"AGS","DGO","Total","m",99,0
"AGS","DGO","Total","m",100,0
"BC","DGO","Total","f",0,0.000534844389193252
"BC","DGO","Total","f",1,0.000534844389193252
"BC","DGO","Total","f",2,0.000534844389193252
"BC","DGO","Total","f",3,0.000534844389193252
"BC","DGO","Total","f",4,0.000534844389193252
"BC","DGO","Total","f",5,0.000790816914887195
"BC","DGO","Total","f",6,0.000790816914887195
"BC","DGO","Total","f",7,0.000790816914887195
"BC","DGO","Total","f",8,0.000790816914887195
"BC","DGO","Total","f",9,0.000790816914887195
"BC","DGO","Total","f",10,0.000859849407037978
"BC","DGO","Total","f",11,0.000859849407037978
"BC","DGO","Total","f",12,0.000859849407037978
"BC","DGO","Total","f",13,0.000859849407037978
"BC","DGO","Total","f",14,0.000859849407037978
"BC","DGO","Total","f",15,0.000735661416865343
"BC","DGO","Total","f",16,0.000735661416865343
"BC","DGO","Total","f",17,0.000735661416865343
"BC","DGO","Total","f",18,0.000735661416865343
"BC","DGO","Total","f",19,0.000735661416865343
"BC","DGO","Total","f",20,0.000641005457060904
"BC","DGO","Total","f",21,0.000641005457060904
"BC","DGO","Total","f",22,0.000641005457060904
"BC","DGO","Total","f",23,0.000641005457060904
"BC","DGO","Total","f",24,0.000641005457060904
"BC","DGO","Total","f",25,0.000600722332152756
"BC","DGO","Total","f",26,0.000600722332152756
"BC","DGO","Total","f",27,0.000600722332152756
"BC","DGO","Total","f",28,0.000600722332152756
"BC","DGO","Total","f",29,0.000600722332152756
"BC","DGO","Total","f",30,0.000782190691491789
"BC","DGO","Total","f",31,0.000782190691491789
"BC","DGO","Total","f",32,0.000782190691491789
"BC","DGO","Total","f",33,0.000782190691491789
"BC","DGO","Total","f",34,0.000782190691491789
"BC","DGO","Total","f",35,0.000838560190711076
"BC","DGO","Total","f",36,0.000838560190711076
"BC","DGO","Total","f",37,0.000838560190711076
"BC","DGO","Total","f",38,0.000838560190711076
"BC","DGO","Total","f",39,0.000838560190711076
"BC","DGO","Total","f",40,0.000758581259665722
"BC","DGO","Total","f",41,0.000758581259665722
"BC","DGO","Total","f",42,0.000758581259665722
"BC","DGO","Total","f",43,0.000758581259665722
"BC","DGO","Total","f",44,0.000758581259665722
"BC","DGO","Total","f",45,0.00049515306099563
"BC","DGO","Total","f",46,0.00049515306099563
"BC","DGO","Total","f",47,0.00049515306099563
"BC","DGO","Total","f",48,0.00049515306099563
"BC","DGO","Total","f",49,0.00049515306099563
"BC","DGO","Total","f",50,0.000378960167302978
"BC","DGO","Total","f",51,0.000378960167302978
"BC","DGO","Total","f",52,0.000378960167302978
"BC","DGO","Total","f",53,0.000378960167302978
"BC","DGO","Total","f",54,0.000378960167302978
"BC","DGO","Total","f",55,0.000318775110240243
"BC","DGO","Total","f",56,0.000318775110240243
"BC","DGO","Total","f",57,0.000318775110240243
"BC","DGO","Total","f",58,0.000318775110240243
"BC","DGO","Total","f",59,0.000318775110240243
"BC","DGO","Total","f",60,0.000271306342546321
"BC","DGO","Total","f",61,0.000271306342546321
"BC","DGO","Total","f",62,0.000271306342546321
"BC","DGO","Total","f",63,0.000271306342546321
"BC","DGO","Total","f",64,0.000271306342546321
"BC","DGO","Total","f",65,0.000217812110674557
"BC","DGO","Total","f",66,0.000217812110674557
"BC","DGO","Total","f",67,0.000217812110674557
"BC","DGO","Total","f",68,0.000217812110674557
"BC","DGO","Total","f",69,0.000217812110674557
"BC","DGO","Total","f",70,0.000148274436135559
"BC","DGO","Total","f",71,0.000148274436135559
"BC","DGO","Total","f",72,0.000148274436135559
"BC","DGO","Total","f",73,0.000148274436135559
"BC","DGO","Total","f",74,0.000148274436135559
"BC","DGO","Total","f",75,0.000329515450753512
"BC","DGO","Total","f",76,0.000329515450753512
"BC","DGO","Total","f",77,0.000329515450753512
"BC","DGO","Total","f",78,0.000329515450753512
"BC","DGO","Total","f",79,0.000329515450753512
"BC","DGO","Total","f",80,0.000273232912411033
"BC","DGO","Total","f",81,0.000273232912411033
"BC","DGO","Total","f",82,0.000273232912411033
"BC","DGO","Total","f",83,0.000273232912411033
"BC","DGO","Total","f",84,0.000273232912411033
"BC","DGO","Total","f",85,0.000233566900233567
"BC","DGO","Total","f",86,0.000233566900233567
"BC","DGO","Total","f",87,0.000233566900233567
"BC","DGO","Total","f",88,0.000233566900233567
"BC","DGO","Total","f",89,0.000233566900233567
"BC","DGO","Total","f",90,0
"BC","DGO","Total","f",91,0
"BC","DGO","Total","f",92,0
"BC","DGO","Total","f",93,0
"BC","DGO","Total","f",94,0
"BC","DGO","Total","f",95,0
"BC","DGO","Total","f",96,0
"BC","DGO","Total","f",97,0
"BC","DGO","Total","f",98,0
"BC","DGO","Total","f",99,0
"BC","DGO","Total","f",100,0
"BC","DGO","Total","m",0,0.000548218640839477
"BC","DGO","Total","m",1,0.000548218640839477
"BC","DGO","Total","m",2,0.000548218640839477
"BC","DGO","Total","m",3,0.000548218640839477
"BC","DGO","Total","m",4,0.000548218640839477
"BC","DGO","Total","m",5,0.000644899729221058
"BC","DGO","Total","m",6,0.000644899729221058
"BC","DGO","Total","m",7,0.000644899729221058
"BC","DGO","Total","m",8,0.000644899729221058
"BC","DGO","Total","m",9,0.000644899729221058
"BC","DGO","Total","m",10,0.000696332317570535
"BC","DGO","Total","m",11,0.000696332317570535
"BC","DGO","Total","m",12,0.000696332317570535
"BC","DGO","Total","m",13,0.000696332317570535
"BC","DGO","Total","m",14,0.000696332317570535
"BC","DGO","Total","m",15,0.00068248902335778
